PID,Cond,Ch,HbO_beta,HbR_beta
AC,left,S1-D1,0.000294986872253704,5.72566570369051e-05
AC,left,S3-D1,0.000195132624502919,2.65642649836228e-05
AC,left,S2-D1,5.18384163719632e-20,3.12978674010464e-20
AC,left,S1-D2,0.000154822413289556,6.36241225565247e-05
AC,left,S3-D2,0.000255290138341004,-2.59764301788654e-05
AC,left,S4-D2,3.18133175272439e-05,4.92677757965997e-05
AC,left,S4-D3,4.45622760226602e-06,-1.70931987232447e-05
AC,left,S5-D3,-4.67760225054245e-05,1.08272242305999e-06
AC,left,S3-D4,0.000209459348525086,2.08672259920399e-05
AC,left,S4-D4,6.16473700842638e-05,3.8869928114059e-05
AC,left,S5-D4,-4.90025982355165e-06,4.03032369503206e-05
AC,left,S8-D5,0.000338250029994345,-6.54064844414131e-05
AC,left,S6-D5,0.000266094405672146,-9.60051326850017e-05
AC,left,S7-D5,-8.43644815465283e-20,-7.7355283907999e-20
AC,left,S9-D6,-1.16154587771602e-05,1.1421745914275e-05
AC,left,S8-D6,0.000171934940159325,-1.91144197526403e-05
AC,left,S6-D6,4.72617520915096e-05,3.71350525047456e-06
AC,left,S10-D7,6.64246618212768e-06,4.52410468354857e-05
AC,left,S9-D7,4.99498489903071e-06,3.08853543750386e-05
AC,left,S8-D7,0.000116461900023808,-4.45684395327363e-05
AC,left,S10-D8,-9.50246671036726e-06,1.51884782451039e-05
AC,left,S9-D8,9.60267595101016e-06,2.9301622120431e-05
AC,right,S1-D1,0.00033322033067376,6.52090327650522e-05
AC,right,S3-D1,0.000176142878394723,7.11751871505309e-05
AC,right,S2-D1,5.75982404132924e-20,1.98205709657506e-20
AC,right,S1-D2,0.000186519507551119,6.6992441146041e-05
AC,right,S3-D2,0.000233056169202899,6.2745886863014e-06
AC,right,S4-D2,5.63458914983848e-05,6.05066183740647e-05
AC,right,S4-D3,-1.72973744465595e-05,-1.11424186922029e-05
AC,right,S5-D3,-4.25328555369287e-05,-4.98638816873993e-06
AC,right,S3-D4,0.000220045778250811,5.02418309878209e-05
AC,right,S4-D4,7.53266155644703e-05,4.65360393781019e-05
AC,right,S5-D4,2.77452360123788e-05,3.56533388951704e-05
AC,right,S8-D5,0.000293356737986024,-7.58860866786047e-05
AC,right,S6-D5,0.000246961101092491,-8.44619383193597e-05
AC,right,S7-D5,-1.37896963813e-19,-7.78211520289888e-20
AC,right,S9-D6,-1.1128266563956e-05,9.75769541410511e-06
AC,right,S8-D6,0.000163143210538149,-2.03227211501654e-05
AC,right,S6-D6,1.92730903875683e-05,5.96011472869614e-05
AC,right,S10-D7,-2.64340240756009e-05,6.88054356582415e-05
AC,right,S9-D7,1.50350993364924e-05,2.62548711471546e-05
AC,right,S8-D7,0.000116576914446698,-5.1704371160514e-05
AC,right,S10-D8,-3.25095956211615e-05,2.81617218676481e-05
AC,right,S9-D8,1.85366699917311e-05,2.61472324248196e-05
AG,left,S1-D1,-0.000123593704648652,3.88555982253509e-05
AG,left,S3-D1,-0.000173235471580471,1.40046591805443e-05
AG,left,S2-D1,-3.26531201166533e-20,-1.87914259348367e-19
AG,left,S1-D2,-0.000141934936467204,3.8654310658151e-05
AG,left,S3-D2,-0.000253842632162698,5.8533320368981e-05
AG,left,S4-D2,-0.000100223121592936,2.66900852120781e-05
AG,left,S4-D3,-0.000127049105552592,2.29629749775035e-05
AG,left,S5-D3,-1.30200410520533e-05,1.21478777695773e-06
AG,left,S3-D4,-0.000116497385902088,2.81446660522671e-05
AG,left,S4-D4,-7.52975385843601e-05,3.23963551879499e-05
AG,left,S5-D4,-1.63177002386245e-05,-1.32334339181538e-05
AG,left,S8-D5,4.30857034017822e-05,-1.8096016243104e-07
AG,left,S6-D5,-6.38575752372852e-05,8.03400115100326e-05
AG,left,S7-D5,2.38609181241536e-19,-1.55028205171218e-19
AG,left,S9-D6,-6.31904379218247e-05,2.16044388150469e-05
AG,left,S8-D6,-1.67723853769929e-05,5.16869619075598e-06
AG,left,S6-D6,-5.04599944174103e-05,5.36269011490733e-05
AG,left,S10-D7,-6.17564793643184e-05,-2.62027529987736e-05
AG,left,S9-D7,-5.89533092684153e-05,5.38047266821467e-05
AG,left,S8-D7,3.73817989398504e-05,-7.54684292326488e-07
AG,left,S10-D8,-2.74170241029089e-05,1.68094377734001e-05
AG,left,S9-D8,-0.000124384662180478,2.09364974739455e-05
AG,right,S1-D1,-0.000126310057927797,4.22639668893956e-05
AG,right,S3-D1,-0.000186659759785135,2.91976054100123e-05
AG,right,S2-D1,-2.35475159336696e-20,-2.030973249279e-19
AG,right,S1-D2,-0.000142157418204883,4.2310870606736e-05
AG,right,S3-D2,-0.000268993921053449,6.81624216769976e-05
AG,right,S4-D2,-0.000102313444207859,2.30822975376258e-05
AG,right,S4-D3,-9.02213694475165e-05,1.0737494030004e-05
AG,right,S5-D3,3.48168617741709e-06,-1.1092683618275e-05
AG,right,S3-D4,-0.000139871422873215,3.01162654440898e-05
AG,right,S4-D4,-6.31334156251462e-05,2.93052592828613e-05
AG,right,S5-D4,-1.17561057331872e-06,-2.39042665682964e-05
AG,right,S8-D5,4.76984513941563e-05,3.41817175402262e-06
AG,right,S6-D5,-5.14101569348419e-05,8.08568359803099e-05
AG,right,S7-D5,2.42929049272533e-19,-1.48527227301042e-19
AG,right,S9-D6,-5.81533889843124e-05,1.35949563860265e-05
AG,right,S8-D6,-3.44440562034205e-05,1.43566575165409e-05
