PID,Cond,Ch,HbO_beta,HbR_beta
AC,left,S1-D1,-3.60059362791766e-05,-1.17501531314184e-05
AC,left,S3-D1,-8.43243208478464e-06,-2.21605034895785e-05
AC,left,S2-D1,3.17898230007633e-21,4.28321471343889e-21
AC,left,S1-D2,-2.34771882965795e-05,-9.99439637706644e-06
AC,left,S3-D2,1.49142987738858e-06,-3.09799138746074e-05
AC,left,S4-D2,1.098513034777e-05,-4.31645489537093e-06
AC,left,S4-D3,1.16913503330238e-06,-7.66911005134488e-07
AC,left,S5-D3,-6.43731216352732e-06,-4.30991104446924e-06
AC,left,S3-D4,-6.78066243879121e-06,-2.85752713580018e-05
AC,left,S4-D4,1.80803566889831e-05,-1.05754839662974e-05
AC,left,S5-D4,-4.42730571961369e-06,-6.02376864457489e-06
AC,left,S8-D5,3.68071315726798e-05,9.62331701205418e-06
AC,left,S6-D5,3.25020310257727e-05,-1.7051149755084e-05
AC,left,S7-D5,7.72965678393094e-22,-1.24121361276757e-21
AC,left,S9-D6,-1.09702999214037e-05,-2.23612413300568e-06
AC,left,S8-D6,2.04036221526922e-05,5.16078681043236e-06
AC,left,S6-D6,2.5209511923639e-05,-3.78855136156663e-05
AC,left,S10-D7,6.78893939460851e-06,6.54127727434549e-07
AC,left,S9-D7,-4.56162787933108e-06,-9.42645852227026e-06
AC,left,S8-D7,-2.09066843606561e-05,2.11526328347291e-06
AC,left,S10-D8,-9.94052071648261e-07,-8.46799407951003e-07
AC,left,S9-D8,-3.63912906090865e-06,-7.30208550652236e-06
AC,right,S1-D1,2.06183921706279e-05,-1.57739439206471e-05
AC,right,S3-D1,2.47825514685678e-05,-1.73755523401537e-05
AC,right,S2-D1,1.01930443701398e-21,1.81894079766788e-21
AC,right,S1-D2,1.83065512126989e-06,-1.82524557895633e-05
AC,right,S3-D2,1.3864060939424e-05,-2.15705419192973e-05
AC,right,S4-D2,2.68624514820093e-05,-5.76548568795332e-06
AC,right,S4-D3,-1.11977902373494e-05,1.8314328344635e-06
AC,right,S5-D3,-1.28587053309504e-05,-7.73164939241943e-06
AC,right,S3-D4,9.27792281987066e-06,-2.51540402912475e-05
AC,right,S4-D4,2.13452507677608e-05,-9.94358947538329e-06
AC,right,S5-D4,2.15626914537045e-06,-6.16511602949153e-06
AC,right,S8-D5,5.5237970355102e-06,1.36556046474188e-05
AC,right,S6-D5,-1.25032343121749e-05,-6.64850058754079e-06
AC,right,S7-D5,-1.38136734194934e-21,-1.71143138623854e-21
AC,right,S9-D6,-1.26271080637837e-05,-5.37288163480538e-06
AC,right,S8-D6,1.02732641968824e-05,1.03680234628115e-05
AC,right,S6-D6,-4.62603306232572e-06,-7.09483256587057e-06
AC,right,S10-D7,-1.46542377371976e-05,4.34532817067272e-06
AC,right,S9-D7,-1.09851980195135e-05,-1.14792083832881e-05
AC,right,S8-D7,-2.6702203813825e-05,4.30944657968529e-06
AC,right,S10-D8,-8.92952867476147e-06,3.48466345446427e-07
AC,right,S9-D8,-7.33625273699385e-06,-1.12502021819693e-05
AG,left,S1-D1,5.96092743525325e-05,7.60510534129892e-07
AG,left,S3-D1,-2.51216331373916e-05,-1.59854422019732e-06
AG,left,S2-D1,1.31277725062734e-20,-3.10815995519135e-21
AG,left,S1-D2,-7.81417630731919e-06,-3.01169864843237e-06
AG,left,S3-D2,-1.20795494208766e-05,2.97174015480186e-05
AG,left,S4-D2,2.31973011433508e-06,6.01819514332957e-06
AG,left,S4-D3,4.9598867563321e-05,3.85798272947438e-06
AG,left,S5-D3,-3.24227719714645e-05,5.25781967288532e-06
AG,left,S3-D4,1.6875820766939e-05,1.35975519218618e-05
AG,left,S4-D4,-6.80738677654491e-09,-2.41116450082826e-06
AG,left,S5-D4,-5.99917533913881e-06,3.79160372145336e-06
AG,left,S8-D5,-4.06912324100201e-06,2.4663507611973e-06
AG,left,S6-D5,-6.91449232529861e-06,1.03627690485369e-05
AG,left,S7-D5,6.93507937054689e-21,-2.16835789531593e-21
AG,left,S9-D6,7.68912429139101e-06,4.61771225248751e-06
AG,left,S8-D6,-2.63948576748898e-05,4.97402760785236e-07
AG,left,S6-D6,-3.443309410787e-06,-1.08743145383704e-06
