PID,Cond,Ch,HbO_beta,HbR_beta
AC,left,S1-D1,0.000152879609860344,2.76125884701637e-05
AC,left,S3-D1,9.57229102703767e-05,1.21092918683545e-05
AC,left,S2-D1,-5.48554670602785e-21,6.32047918260709e-20
AC,left,S1-D2,8.06028390620861e-05,3.36059529416872e-05
AC,left,S3-D2,0.000125437867514192,-1.31217569797579e-05
AC,left,S4-D2,1.73689210299071e-05,2.63542878177015e-05
AC,left,S4-D3,2.54888694326222e-06,-8.52460406944551e-06
AC,left,S5-D3,-2.1104070793127e-05,2.42264344614981e-06
AC,left,S3-D4,0.000107916318127938,1.05794711993948e-05
AC,left,S4-D4,3.26160684574911e-05,2.02871156340273e-05
AC,left,S5-D4,2.02708781630661e-07,2.20451520547591e-05
AC,left,S8-D5,0.000173695279410182,-3.75614891938761e-05
AC,left,S6-D5,0.000138736085166194,-5.08427599596088e-05
AC,left,S7-D5,-5.80822592402949e-20,-3.84164734619294e-20
AC,left,S9-D6,-4.77152629447118e-06,6.88058207963886e-06
AC,left,S8-D6,8.89903410857188e-05,-1.18183046031967e-05
AC,left,S6-D6,2.55481038052011e-05,7.01510572100994e-06
AC,left,S10-D7,2.91889390796032e-06,2.49233728180374e-05
AC,left,S9-D7,2.78840641887555e-06,1.69080300762146e-05
AC,left,S8-D7,6.54819106388166e-05,-2.49963622532151e-05
AC,left,S10-D8,-4.80031310083706e-06,8.83816332919913e-06
AC,left,S9-D8,5.51283650677337e-06,1.64116350093671e-05
AC,right,S1-D1,0.000171859018499218,3.18864415589289e-05
AC,right,S3-D1,8.58958532830446e-05,3.42560054996797e-05
AC,right,S2-D1,-2.6252979502102e-20,8.03370415568454e-20
AC,right,S1-D2,9.65503166519397e-05,3.54746453399631e-05
AC,right,S3-D2,0.000115525598429814,2.52253419001628e-06
AC,right,S4-D2,2.81294302464379e-05,3.22966175653602e-05
AC,right,S4-D3,-8.35836980986528e-06,-6.08277676024557e-06
AC,right,S5-D3,-1.8666401457714e-05,-6.50527323804186e-07
AC,right,S3-D4,0.000113888641994728,2.58907349199967e-05
AC,right,S4-D4,3.83187354753148e-05,2.459208085346e-05
AC,right,S5-D4,1.577596372221e-05,1.97797178561148e-05
AC,right,S8-D5,0.000154933217284194,-4.3144687549637e-05
AC,right,S6-D5,0.000132911470834301,-4.58032851189632e-05
AC,right,S7-D5,-6.47828948766102e-20,-2.15388378016094e-20
AC,right,S9-D6,-4.40354889476752e-06,5.88339888332652e-06
AC,right,S8-D6,8.61011668477929e-05,-1.26518141624016e-05
AC,right,S6-D6,1.33631542445212e-05,3.33327035795707e-05
AC,right,S10-D7,-1.25569654628942e-05,3.62113548548646e-05
AC,right,S9-D7,7.89946016052033e-06,1.45395662716461e-05
AC,right,S8-D7,6.75150098053002e-05,-2.89098036920567e-05
AC,right,S10-D8,-1.56889409993017e-05,1.50386105629028e-05
AC,right,S9-D8,9.8155787222238e-06,1.47969997121759e-05
AG,left,S1-D1,-7.05322070840404e-05,2.25162449173854e-05
AG,left,S3-D1,-9.21850828712102e-05,5.02356046682404e-06
AG,left,S2-D1,2.7185724116638e-20,4.23960157551902e-19
AG,left,S1-D2,-7.94716825410337e-05,2.21762900364956e-05
AG,left,S3-D2,-0.000136543830537822,2.94653152107383e-05
AG,left,S4-D2,-5.61255935011809e-05,1.45959558382242e-05
AG,left,S4-D3,-7.23181045554043e-05,1.21139450497263e-05
AG,left,S5-D3,-9.08576013837809e-06,-6.72002785412197e-07
AG,left,S3-D4,-6.63032883825467e-05,1.23806377627952e-05
AG,left,S4-D4,-4.85749431976366e-05,1.74838002060039e-05
AG,left,S5-D4,-5.80932238905973e-06,-7.59021857136463e-06
AG,left,S8-D5,3.52832828977569e-05,-1.03304041914337e-06
AG,left,S6-D5,-3.95700186627972e-05,4.14188753833291e-05
AG,left,S7-D5,2.35898675810323e-19,4.87724596146695e-20
AG,left,S9-D6,-3.75343598113441e-05,1.10660755822141e-05
AG,left,S8-D6,-7.89666762409195e-06,8.66248723829285e-07
AG,left,S6-D6,-3.7016361114224e-05,2.83319559468505e-05
AG,left,S10-D7,-3.67388442016976e-05,-1.43383683493567e-05
AG,left,S9-D7,-3.88062008210326e-05,2.7026079884215e-05
AG,left,S8-D7,1.99708715937985e-05,-1.07646133980686e-06
AG,left,S10-D8,-2.00436699839113e-05,8.22330127685661e-06
AG,left,S9-D8,-7.00874163219174e-05,1.09200327839425e-05
AG,right,S1-D1,-6.96385397711592e-05,2.40409748141518e-05
AG,right,S3-D1,-9.73799296638651e-05,1.29568971912584e-05
AG,right,S2-D1,3.70677751679382e-20,4.59369159864801e-19
AG,right,S1-D2,-7.75142321813683e-05,2.37597981855648e-05
AG,right,S3-D2,-0.00014204487040131,3.49885815567458e-05
AG,right,S4-D2,-5.6590497504511e-05,1.29397538674396e-05
AG,right,S4-D3,-5.28950443272788e-05,5.97594740992855e-06
AG,right,S5-D3,-6.49404973532654e-07,-6.16529247110407e-06
AG,right,S3-D4,-7.70690721335942e-05,1.34668976612676e-05
AG,right,S4-D4,-4.17475057011711e-05,1.59163886041059e-05
AG,right,S5-D4,2.06613810528245e-06,-1.24868628617764e-05
AG,right,S8-D5,3.7485799741718e-05,7.8897012439932e-07
AG,right,S6-D5,-3.26524004615213e-05,4.11532877470412e-05
AG,right,S7-D5,2.03464372538377e-19,5.22589077279216e-20
AG,right,S9-D6,-3.46036722902291e-05,7.41405527927107e-06
AG,right,S8-D6,-1.49631485704326e-05,5.15940937431691e-06
AG,right,S6-D6,-3.13817393005032e-05,2.83875292399431e-05
AG,right,S10-D7,-2.8184595163589e-05,-2.17377336809701e-05
AG,right,S9-D7,-3.21593044615794e-05,1.93581437559539e-05
AG,right,S8-D7,1.78146767527328e-05,-8.91557150564829e-07
AG,right,S10-D8,-1.09344428494258e-05,5.85137511291389e-07
AG,right,S9-D8,-5.67223750402326e-05,4.16113905413068e-07
CD,left,S1-D1,3.05574710237356e-05,5.15955863824767e-06
CD,left,S3-D1,7.80753847749373e-05,-2.1825326190603e-06
CD,left,S2-D1,-1.80700362080917e-20,-1.04064047805528e-20
CD,left,S1-D2,1.69423292121693e-05,1.24107560381053e-05
CD,left,S3-D2,7.68945207649479e-05,-1.56821246377966e-05
CD,left,S4-D2,1.53046247364567e-05,2.79460531384396e-06
CD,left,S4-D3,7.72176881788671e-07,1.88091808552249e-06
CD,left,S5-D3,-3.08457701174104e-06,-1.95233757984674e-06
CD,left,S3-D4,6.22438901742255e-05,-2.08570847312818e-06
CD,left,S4-D4,6.43298890005447e-06,1.50418349502577e-07
CD,left,S5-D4,7.54966944493499e-06,3.74843128682274e-06
CD,left,S8-D5,-4.64379830741956e-05,3.95038325917672e-05
CD,left,S6-D5,-5.21204990290569e-05,1.56362432100808e-05
CD,left,S7-D5,-2.48543667665762e-19,-5.13866654667609e-20
CD,left,S9-D6,-6.19642027692864e-06,-3.117379102426e-06
CD,left,S8-D6,3.1631460232477e-05,1.11018756846004e-05
CD,left,S6-D6,-1.533783654234e-05,-9.1197919422764e-06
CD,left,S10-D7,-5.19159809817888e-06,4.53252978583237e-07
CD,left,S9-D7,-1.00105275005045e-05,-6.23988710223293e-06
CD,left,S8-D7,1.62348294338593e-05,5.13141773593749e-06
CD,left,S10-D8,3.50065091094371e-06,-1.12166191036925e-06
CD,left,S9-D8,-2.32892225978319e-05,-1.75918242723638e-05
CD,right,S1-D1,2.33265818504275e-05,5.76235073063032e-06
CD,right,S3-D1,7.02406362313187e-05,-3.38770299130107e-06
CD,right,S2-D1,6.57458906678338e-21,-7.27036613059941e-21
CD,right,S1-D2,4.11097766117166e-06,1.35091311628365e-05
CD,right,S3-D2,6.5564560372317e-05,-1.9033497921301e-05
CD,right,S4-D2,1.16987772168222e-05,2.0467072850688e-06
CD,right,S4-D3,2.072300930825e-06,2.86497394227709e-07
CD,right,S5-D3,-4.38705031284803e-06,-2.27107029064639e-06
CD,right,S3-D4,5.06971361639527e-05,-7.3466613205991e-06
CD,right,S4-D4,2.41779083980903e-07,-2.10523710991844e-07
CD,right,S5-D4,2.2438218679065e-06,1.55013327658808e-06
CD,right,S8-D5,-5.72211370375897e-05,3.75168171227683e-05
CD,right,S6-D5,-5.74952892256056e-05,1.31634645035099e-05
CD,right,S7-D5,-1.59907719970937e-19,-4.81195383844943e-20
CD,right,S9-D6,-5.63752623437169e-06,-2.76294753769389e-06
CD,right,S8-D6,1.84186218416761e-05,1.08154683387279e-05
CD,right,S6-D6,-2.31146985254943e-05,-6.98733468821195e-06
CD,right,S10-D7,-5.89681882822533e-06,1.86598378722151e-07
CD,right,S9-D7,-1.23279195112467e-05,-6.72683628204465e-06
CD,right,S8-D7,5.54586055684151e-06,2.74302909173178e-06
CD,right,S10-D8,5.74250336737686e-06,1.47473358762764e-07
CD,right,S9-D8,-1.47088990905009e-05,-1.27384040602747e-05
CI,left,S1-D1,-3.59362014455513e-05,5.30902020872158e-05
CI,left,S3-D1,-0.000117572247234973,3.82484928294405e-05
CI,left,S2-D1,7.71929359264419e-19,-1.48680752022731e-19
CI,left,S1-D2,-2.35499904125436e-05,5.36552424399988e-05
CI,left,S3-D2,-0.000189652977530184,3.35215315491894e-05
CI,left,S4-D2,1.93290916056783e-05,2.44997991750639e-05
CI,left,S4-D3,7.71393904518989e-05,-4.62372412418913e-06
CI,left,S5-D3,7.47080448708856e-05,1.18655462703992e-05
CI,left,S3-D4,-0.000140535012806614,8.89392531512165e-06
CI,left,S4-D4,2.8577917469169e-06,1.25711080134664e-05
CI,left,S5-D4,2.76330499174389e-06,1.28135471518373e-05
CI,left,S8-D5,-0.00022253708956634,2.7240110644118e-05
CI,left,S6-D5,-6.43327264539621e-05,8.88199724149115e-05
CI,left,S7-D5,-4.05053172122119e-19,-7.62833838806998e-19
CI,left,S9-D6,-3.59521337391999e-05,5.90182120671005e-05
CI,left,S8-D6,-0.000146153988599444,6.06260576555703e-05
CI,left,S6-D6,-0.000111030543632672,6.41336057451459e-05
CI,left,S10-D7,-5.04497988503879e-06,-7.12505075867238e-06
CI,left,S9-D7,-2.8786881861139e-06,3.47813599118544e-05
CI,left,S8-D7,-0.00019272503189116,7.86821967639215e-05
CI,left,S10-D8,-5.86766633817064e-07,-2.93387200474812e-06
CI,left,S9-D8,3.00039083003192e-05,-7.29011376443626e-06
CI,right,S1-D1,-3.13981848159355e-05,6.24695573145966e-05
CI,right,S3-D1,-0.000122475800218269,4.29634678171489e-05
CI,right,S2-D1,8.43241466442781e-19,-1.45084643393987e-19
CI,right,S1-D2,-2.21221168697168e-05,6.22785379043176e-05
CI,right,S3-D2,-0.000184265074128023,4.45079622326284e-05
CI,right,S4-D2,2.38001992420659e-05,2.04348164213637e-05
CI,right,S4-D3,7.1564497959165e-05,-4.86425563591389e-06
CI,right,S5-D3,7.80463770751658e-05,1.50569896426677e-05
CI,right,S3-D4,-0.000143746859574572,1.86402086548564e-05
CI,right,S4-D4,3.32639616942171e-07,1.23259453874211e-05
CI,right,S5-D4,7.01171828502203e-07,1.45110740233757e-05
CI,right,S8-D5,-0.000215758321529491,2.96967337144859e-05
CI,right,S6-D5,-5.61085785669313e-05,8.44873334491131e-05
CI,right,S7-D5,-4.1592847014133e-19,-7.66353059028328e-19
CI,right,S9-D6,-2.94807505843928e-05,4.84647733957612e-05
CI,right,S8-D6,-0.000139671032349174,5.65678574232572e-05
CI,right,S6-D6,-9.63036208088449e-05,5.92367493871553e-05
CI,right,S10-D7,-8.9000663155543e-06,-7.52148552922414e-06
CI,right,S9-D7,-1.74201456348195e-06,2.08711300860159e-05
CI,right,S8-D7,-0.000184182905706465,7.87147822176508e-05
CI,right,S10-D8,-6.56068355663805e-06,-3.18938673703585e-06
CI,right,S9-D8,3.21233345644743e-05,-1.94615685084565e-05
EM,left,S1-D1,1.41105996370552e-05,-1.51394058971461e-05
EM,left,S3-D1,8.45499567923961e-05,-1.45502242773636e-05
EM,left,S2-D1,-7.55029035221583e-19,-2.71403473516065e-20
EM,left,S1-D2,2.8722918893957e-06,-9.04513810722397e-06
EM,left,S3-D2,5.55333922828333e-05,-3.30512893590292e-05
EM,left,S4-D2,2.28663874158765e-05,-1.27953426074254e-05
EM,left,S4-D3,5.75174364394774e-06,8.42453388676603e-06
EM,left,S5-D3,2.60464792854749e-05,-1.49081654232604e-05
EM,left,S3-D4,6.53732416831893e-05,-4.53362631361929e-06
EM,left,S4-D4,-9.83145088332499e-06,-8.38653536660083e-06
EM,left,S5-D4,5.90770215307455e-05,-7.68554214612121e-06
EM,left,S8-D5,0,0
EM,left,S6-D5,9.35194010046883e-05,-4.25447430447536e-05
EM,left,S7-D5,1.75120217424456e-18,1.93412946409268e-19
EM,left,S9-D6,1.18361856302849e-05,-1.05132841600828e-06
EM,left,S8-D6,5.48174538957269e-05,-8.31448100682679e-05
EM,left,S6-D6,-3.94515585871597e-05,-2.87951075888478e-05
EM,left,S10-D7,5.58703698175307e-05,1.00878297361086e-05
EM,left,S9-D7,5.29034740265399e-05,-3.18065329202025e-06
EM,left,S8-D7,4.28064433812572e-05,-2.3027544568877e-05
EM,left,S10-D8,3.09874550769436e-05,-8.05874146687458e-06
EM,left,S9-D8,-2.09212717230657e-05,9.60879748556494e-06
EM,right,S1-D1,2.93757551222948e-05,-2.32641610452398e-06
EM,right,S3-D1,8.94700510942233e-05,-2.34297222528405e-06
EM,right,S2-D1,-7.96745407873858e-19,-1.90456366562686e-20
EM,right,S1-D2,2.06308186631009e-05,2.03303193844107e-06
EM,right,S3-D2,8.17305589412686e-05,-8.52618474838989e-06
EM,right,S4-D2,3.42327311751133e-05,-6.94945438294851e-06
EM,right,S4-D3,1.30506256092198e-05,6.10778188274941e-06
EM,right,S5-D3,1.63715355325837e-05,-1.11442976183236e-05
EM,right,S3-D4,7.73273560110609e-05,8.76792584542066e-06
EM,right,S4-D4,-8.6566519649503e-06,-6.91606838929986e-06
EM,right,S5-D4,5.47922184925497e-05,-2.24849564105017e-06
EM,right,S8-D5,0,0
EM,right,S6-D5,0.000101943323105864,-1.46514429954999e-05
EM,right,S7-D5,1.77300917612285e-18,2.00780998631255e-19
EM,right,S9-D6,3.18062771003178e-05,-4.14647220614226e-07
EM,right,S8-D6,7.2976705260158e-05,-5.08998966452971e-05
EM,right,S6-D6,-2.53005445560446e-05,-9.92098573335416e-06
EM,right,S10-D7,6.66796316690445e-05,1.40125436835368e-05
