PID,Cond,Ch,HbO_beta,HbR_beta
AC,left,S1-D1,-5.65703676686831e-05,-8.38899301929753e-06
AC,left,S3-D1,-3.78738797389203e-05,-3.96065837116718e-05
AC,left,S2-D1,2.76169722402596e-21,-5.01037694468845e-21
AC,left,S1-D2,-1.05387706744562e-05,-4.74941010335452e-06
AC,left,S3-D2,-3.28906603917209e-06,-4.08012733696278e-05
AC,left,S4-D2,8.55702703821163e-06,-2.15126449600157e-06
AC,left,S4-D3,1.45098314896778e-05,1.99724355181454e-06
AC,left,S5-D3,-4.73294286108139e-06,5.67936792431358e-06
AC,left,S3-D4,-3.1261737804412e-06,-1.37346431967559e-05
AC,left,S4-D4,2.87892422169369e-05,-6.54317483191239e-06
AC,left,S5-D4,-1.52987460141049e-05,-4.49073714054086e-06
AC,left,S8-D5,2.62526837329964e-05,-4.86199171661523e-06
AC,left,S6-D5,4.8102236264423e-05,-2.25459298315908e-05
AC,left,S7-D5,-1.12751052856252e-20,-1.69858844794606e-21
AC,left,S9-D6,-1.09507169842834e-05,-7.73088093511907e-06
AC,left,S8-D6,9.50009115024779e-06,-4.93781993685342e-06
AC,left,S6-D6,5.12708249702063e-05,-4.2983623129239e-05
AC,left,S10-D7,2.55493607965626e-05,-1.10359805163913e-05
AC,left,S9-D7,9.28555525183048e-07,-1.31996632170546e-05
AC,left,S8-D7,-1.25622323207292e-05,-5.40528589153266e-06
AC,left,S10-D8,4.57095681476701e-06,-7.15593173852018e-06
AC,left,S9-D8,3.58897956404059e-06,-1.43977665106009e-05
AC,right,S1-D1,1.89406787262131e-05,-2.30180383024862e-05
AC,right,S3-D1,1.80149335793707e-05,-3.58414550833676e-05
AC,right,S2-D1,-7.22072408646016e-21,-2.76426132634662e-21
AC,right,S1-D2,2.77627838653137e-05,-2.02536768677045e-05
AC,right,S3-D2,2.41813336637948e-05,-3.41446126324804e-05
AC,right,S4-D2,2.47887985114908e-05,-6.51018900706386e-06
AC,right,S4-D3,-1.97161655077416e-06,5.63697124221509e-06
AC,right,S5-D3,-1.74867015385229e-05,-4.52765738638812e-06
AC,right,S3-D4,2.88333764099705e-05,-1.6330675284556e-05
AC,right,S4-D4,3.00454517903752e-05,-4.11368829065788e-06
AC,right,S5-D4,-9.78375019813705e-06,-1.12532483347854e-05
AC,right,S8-D5,-2.83823494624868e-05,3.77047977611853e-06
AC,right,S6-D5,-3.62338089131441e-05,1.24423594286393e-06
AC,right,S7-D5,-2.50974929537242e-20,-1.53703068313147e-21
AC,right,S9-D6,-1.14291097141149e-05,-1.00047114619409e-05
AC,right,S8-D6,-7.05816899446071e-06,2.6366184770979e-06
AC,right,S6-D6,-6.87465510875361e-06,4.03437621454002e-06
AC,right,S10-D7,-1.14471696009508e-05,-1.54873504691586e-05
AC,right,S9-D7,-8.471591571758e-06,-1.57659527115482e-05
AC,right,S8-D7,-2.33299539235803e-05,6.53286980946353e-07
AC,right,S10-D8,-7.37618263508754e-06,-1.20637572251912e-05
AC,right,S9-D8,-5.36981518748643e-07,-1.79695886699733e-05
AG,left,S1-D1,6.26908043466556e-07,-2.60494181409759e-06
AG,left,S3-D1,3.18667290038143e-05,-1.04373314602792e-05
AG,left,S2-D1,2.1970018884911e-20,-5.49090022157289e-21
AG,left,S1-D2,-1.21143957372736e-05,6.24547996080666e-06
AG,left,S3-D2,5.46774860310955e-05,-7.30593915569181e-06
AG,left,S4-D2,-8.5613505810726e-06,1.05180419338315e-05
AG,left,S4-D3,-1.09048108517569e-05,5.88296736867038e-06
AG,left,S5-D3,2.01137492554859e-05,-7.84216662107543e-07
AG,left,S3-D4,1.47643746868072e-05,-4.28490856654708e-06
AG,left,S4-D4,-3.09717917055886e-06,4.87854880259497e-06
AG,left,S5-D4,1.36447124230287e-05,1.70465361380084e-06
AG,left,S8-D5,-2.16040748378219e-06,1.19691330174766e-06
AG,left,S6-D5,-1.58462558214905e-05,1.60988045253199e-06
AG,left,S7-D5,7.00236984486979e-21,-2.88305429193936e-22
AG,left,S9-D6,-7.54770090669508e-06,8.29811791974841e-06
AG,left,S8-D6,3.72600655269701e-07,1.08039035394946e-06
AG,left,S6-D6,-8.73393828310815e-06,4.01030557122334e-06
AG,left,S10-D7,-5.31468683593711e-06,-2.12301907885188e-06
AG,left,S9-D7,-6.76789852014514e-06,6.23932070520474e-06
AG,left,S8-D7,3.73037002535726e-06,3.77588732426301e-06
AG,left,S10-D8,-1.69626061103883e-06,6.21296191890802e-06
AG,left,S9-D8,-9.85474217919026e-06,9.55475962893272e-06
AG,right,S1-D1,-8.07072577638175e-07,2.72188891541474e-08
AG,right,S3-D1,2.81835635600467e-05,-2.88768929954839e-06
AG,right,S2-D1,1.22180788741815e-20,-1.67662756110577e-21
AG,right,S1-D2,1.08598314698468e-06,5.40735756545537e-06
AG,right,S3-D2,3.78277074025258e-05,6.68874839375292e-06
AG,right,S4-D2,6.22205286859044e-06,5.80925645188857e-06
AG,right,S4-D3,7.85798839990576e-06,-9.36996977100588e-07
AG,right,S5-D3,2.14767401362925e-05,-6.53429386354458e-06
AG,right,S3-D4,1.55145480484617e-05,-2.24393965745163e-06
AG,right,S4-D4,1.66266234459682e-05,2.39450778728242e-06
AG,right,S5-D4,1.01367314521238e-05,-6.35532412971045e-06
AG,right,S8-D5,9.0195895902923e-06,2.39261797634243e-06
AG,right,S6-D5,-4.45130571407367e-06,1.06881351349369e-06
AG,right,S7-D5,2.50325619728131e-21,-9.95831312691772e-22
AG,right,S9-D6,8.44221686302116e-06,1.7424140541247e-06
AG,right,S8-D6,-1.16221090783724e-05,5.7141406521451e-06
AG,right,S6-D6,2.16355658032185e-06,3.32784737691154e-06
AG,right,S10-D7,-8.82319860692093e-07,-1.68841168723328e-06
AG,right,S9-D7,1.95567549823599e-05,-5.46334730879419e-06
AG,right,S8-D7,-3.07220786939468e-07,2.82063805332793e-06
AG,right,S10-D8,4.41921505594527e-06,-1.17011848647189e-06
AG,right,S9-D8,1.12436341347232e-05,-4.55707349088115e-06
CD,left,S1-D1,1.4436306949741e-05,-2.46742405933326e-06
CD,left,S3-D1,-3.3318498462082e-05,1.87011345107031e-05
CD,left,S2-D1,1.48852272118688e-20,-3.92396155561426e-21
CD,left,S1-D2,6.57120043619088e-06,1.19683247492949e-06
CD,left,S3-D2,-3.01062234687952e-05,2.48107084596985e-05
CD,left,S4-D2,1.35127819639357e-05,3.49029155496555e-07
CD,left,S4-D3,8.84479757986597e-07,3.48602277149521e-06
CD,left,S5-D3,-3.16806306193409e-06,5.72677264100026e-06
CD,left,S3-D4,-2.78031851781825e-05,1.7859531103125e-05
CD,left,S4-D4,1.19377294800975e-05,-4.78762672563617e-06
CD,left,S5-D4,6.0876625580652e-06,3.56811653885317e-06
CD,left,S8-D5,-1.70966093993665e-07,3.94869005496084e-06
CD,left,S6-D5,-1.01459248654708e-05,1.92565732298713e-05
CD,left,S7-D5,-2.85274979372208e-20,4.96063554820844e-22
CD,left,S9-D6,1.4391881868688e-05,-3.93162916822348e-06
CD,left,S8-D6,2.09363833890699e-05,2.45227026044136e-06
CD,left,S6-D6,1.64782314136781e-05,3.86129377725671e-06
CD,left,S10-D7,1.6261427602706e-06,-4.82013133932465e-06
CD,left,S9-D7,2.6980788549297e-06,-2.21925250952506e-06
CD,left,S8-D7,1.9622663613641e-05,-4.33505408014778e-06
CD,left,S10-D8,1.46183773977789e-05,-7.84686743563535e-06
CD,left,S9-D8,1.09432463406137e-06,-5.39052830294913e-07
CD,right,S1-D1,-7.10411410080608e-06,-3.04679695964815e-06
CD,right,S3-D1,-1.99889885475188e-05,2.06708816159716e-05
CD,right,S2-D1,1.36707127844103e-20,-3.76362033082004e-21
CD,right,S1-D2,-7.31644713383784e-06,-3.87900749678007e-06
CD,right,S3-D2,-2.28617272018367e-05,1.44589388021261e-05
CD,right,S4-D2,-9.55966314110936e-07,4.64691002554688e-06
CD,right,S4-D3,-4.38322426863175e-06,7.91204008613327e-06
CD,right,S5-D3,-6.29500452945583e-06,-9.10421858622381e-07
CD,right,S3-D4,-1.35655579491989e-05,8.84075960831078e-06
CD,right,S4-D4,-1.38241867499273e-06,-3.12533144775374e-06
CD,right,S5-D4,-1.08552113013228e-05,-2.02058214745503e-06
CD,right,S8-D5,-1.85838323541042e-05,-3.67747335757398e-06
CD,right,S6-D5,-8.31491399870822e-06,1.20812755190261e-05
CD,right,S7-D5,-2.26632330796843e-20,-1.98429647184124e-22
CD,right,S9-D6,1.28780961172924e-05,-4.8582273137543e-06
CD,right,S8-D6,1.22006523495499e-05,-1.45063155518652e-06
CD,right,S6-D6,9.89650638841709e-06,5.1799340795236e-06
